job_title,company,location,preferred_qualifications,minimum_qualifications,url,source
Marketing Data Scientist,Ginger Labs,"San Francisco, CA","['4+ years of experience in Marketing Data Science, Growth Analytics, or Marketing Analytics, with a strong focus on mobile app analytics.', 'Strong knowledge of marketing analytics tools.', 'Deep understanding of marketing metrics.', 'Experience designing and analyzing A/B tests to guide marketing and product decisions.', 'Strong data storytelling skills – ability to translate complex analyses into actionable insights for non-technical stakeholders.']","['4+ years of experience', 'Strong knowledge of marketing analytics tools.', 'Deep understanding of marketing metrics.', 'Experience designing and analyzing A/B tests to guide marketing and product decisions.', 'Strong data storytelling skills – ability to translate complex analyses into actionable insights for non-technical stakeholders.', 'A proactive, self-starter attitude with strong organizational skills, attention to detail, and ability to juggle multiple priorities in a less structured environment.']",https://www.linkedin.com/jobs/view/data-scientist-at-ginger-labs-4181180886,LinkedIn
Machine Learning Engineer,Aura Intelligence,Not specified,"['Strong proficiency in Python and production-grade software development', 'Solid understanding of GPU acceleration, resource optimization, and scalable ML inference pipelines', 'Strong SQL skills and experience with data warehouses', 'Familiarity with AWS (particularly S3) and broader cloud computing concepts', 'Experience setting up observability (metrics, logging, and alerting) for ML systems', 'Proficiency with CI/CD practices and testing frameworks (pytest for unit, integration, and model evaluation testing)', 'Knowledge of version control (Git) and best practices in documentation', 'Excellent problem-solving skills with a proven ability to debug complex production issues', 'Strong communication skills to effectively collaborate with both technical and non-technical team members', 'Experience with containerization (e.g., Docker) and orchestration platforms (e.g., Kubernetes)', 'Familiarity with serverless compute platforms (e.g., Modal) and workflow orchestration tools (e.g., Dagster)', 'Knowledge of additional classification models (e.g., XGBoost, FastText) and broader data engineering concepts', 'Understanding of data versioning, experiment tracking, and model registry practices', 'Experience with observability platforms (e.g., Datadog) and data warehouses like Snowflake']","['2+ years in machine learning engineering with a strong focus on production deployment', 'Proven experience deploying and optimizing transformer-based models (e.g., RoBERTa, BERT) in a production environment']",https://www.linkedin.com/jobs/view/machine-learning-engineer-mlops-team-at-aura-intelligence-4148118141,LinkedIn
Machine Learning Engineer (MLOPS),NobleAI,NobleAI,"['MSc Degree in Computer Science or a related field', '3+ years of experience in building and deploying ML systems', '3+ years of experience working with Python and MLOps tools, including Docker, Kubernetes, KubeFlow, TensorFlow, PyTorch, Sagemaker, MLFlow', '2+ years of cloud experience (AWS or Azure ML Platforms)', '3+ years of experience in Software Engineering practices such as version control, testing, DevOps (build pipelines, CI/CD), and Python package management']",['Understanding of machine learning algorithms and techniques'],https://www.linkedin.com/jobs/view/machine-learning-engineer-at-nobleai-4167885324,LinkedIn
Spring Intern - Data Science,C3 AI,C3 AI,"['Experience with scalable ML (MapReduce, Spark)', 'Experience in Generative AI, e.g., Large Language Models (LLMs), embedding models, prompt engineering, and fine-tuning', 'Experience with reinforcement learning', 'A portfolio of projects (GitHub, papers, etc.)']","['Pursuing or completed MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields', 'Applied Machine Learning experience (regression and classification, supervised, self-supervised, and unsupervised learning)', 'Strong mathematical background (linear algebra, calculus, probability, and statistics)', 'Proficiency in Python and objected-oriented programming, e.g. JavaScript', 'Familiarity with key Python packages for data wrangling, machine learning, and deep learning such as pandas, sklearn, tensorflow, torch, langchain, etc.', 'Ability to drive a project and work both independently and in a cross-functional team', 'Smart, motivated, can-do attitude, and seeks to make a difference in a fast-paced environment', 'Excellent verbal and written communication']",https://www.linkedin.com/jobs/view/data-scientist-intern-spring-2025-at-c3-ai-4119970158,LinkedIn
Associate Data Scientist,"Williams-Sonoma, Inc.",San Francisco,"['Experienced programming and scripting with Python', 'Knowledge and understanding of BI visualization tools (e.g., Domo, Tableau, PowerBI, Looker)', 'Exposure with machine learning, marketing mix modeling (Bayesian), Markov Chain Monte Carlo (MCMC) algorithms, Deep Learning Neural Networks, Long Short Term Memory (LSTM), Prophet/NeuralProphet, Regression, A/B testing, and other related methodologies a huge plus']","['BA/BS or higher degree in Computer Science, Math, Physics, Engineering, Statistics, Biostatistics, Economics, Analytics, Applied Mathematics, Physical Sciences, or a related quantitative field', '0 - 2+ years of experience in an analytical role or equivalent academic coursework in data modeling, analytics, market research, or other data-centric field', 'Proficiency in SQL (1+ years) and Excel']",https://www.linkedin.com/jobs/view/associate-data-scientist-at-williams-sonoma-inc-4167373530,LinkedIn
AI Engineer,Artisan,Artisan,"['Experience with tools like Langsmith and Langchain for managing and optimizing LLM pipelines.', 'Proficiency with cloud platforms (AWS or Azure) and containerization technologies (e.g., Docker).']","['2+ years of professional experience in ML/AI engineering, with expertise in LLM fine-tuning and deployment.', 'Strong programming skills, particularly in Python, and experience with MLOps tools like MLflow.', 'Solid understanding of distributed systems and software engineering best practices.']",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-artisan-4122691570,LinkedIn
Data Scientist - Machine Learning,Atomic AI,South San Francisco,"['History of scientific achievement, e.g. as evidenced by publication of impactful papers.', 'Conceptual understanding of ML model development and evaluation, and experience using ML models.', 'Experience with computational structural biology tools for modeling RNA secondary and tertiary structure (e.g. Rosetta, AlphaFold, RNAfold).', 'Understanding of RNA-SM interactions, including familiarity with structural properties of binding sites and experimental methods for evaluating binding.', 'Proficiency with pipelines for next-generation sequencing dataset processing.', 'Exposure to high throughput experimental assays for evaluating RNA structure and screening RNA-SM interactions.']","['Ph.D. in Computational Biology, Bioinformatics, Statistics, Biophysics, or related field, or equivalent experience.', 'Expertise in RNA biology and biochemistry, RNA-protein interactions, and RNA structure.', 'Proficiency in Python for data curation and analysis at scale, and fluency with libraries for data analysis (NumPy, pandas) and applied ML (scikit-learn).', 'Strong programming background, familiarity with Unix and comfort with using external software packages.', 'Strong foundation in statistics and experience with conducting statistical analysis of large-scale datasets.', 'Excellent presentation and writing skills, able to clearly communicate technical information to colleagues.']",https://www.linkedin.com/jobs/view/data-scientist-rna-biology-at-atomic-ai-4172521155,LinkedIn
Data Scientist,Artisan,Artisan,"['MS or PhD in Statistics, Computer Science, Mathematics, or related quantitative field preferred', 'Excellent communication skills with ability to explain complex concepts to technical and non-technical stakeholders']","['3+ years of professional experience in data science, with a focus on NLP, recommendation systems, or behavioral modeling', 'Strong statistical background with experience in experimental design, causal inference, and predictive modeling', 'Proficiency in Python and SQL, with experience using data science libraries (NumPy, Pandas, scikit-learn, PyTorch/TensorFlow)', 'Experience with large language models, embeddings, and vector databases', 'Familiarity with feature engineering techniques for machine learning models', 'Knowledge of data visualization tools (Tableau, Power BI, or similar)', 'Experience working with large, complex datasets and distributed computing frameworks', 'Track record of translating data insights into business impact']",https://www.linkedin.com/jobs/view/data-scientist-at-artisan-4185045120,LinkedIn
Data Scientist - Climate Operations,Google,"San Francisco, CA, USA; Sunnyvale, CA, USA","['5 years of work experience with analysis applications and coding (Python, R, SQL)', '4 years of experience as a data scientist, including applying advanced analytics to planning and infrastructure problems', 'Experience in energy and climate domain, or greenhouse gas accounting']","[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, a related quantitative field, or equivalent practical experience"", '3 years of experience with statistical data analysis, data mining, and querying (e.g., SQL)', '1 year of experience managing analytical projects']",https://www.linkedin.com/jobs/view/data-scientist-iii-product-operations-data-science-at-google-4185769931,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '2+ years of work experience in analytics and data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', '2+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120825485,LinkedIn
Energy Systems Data Scientist,Pattern Energy,San Francisco,"['Preferred familiarity with cloud platforms and large dataset tools (e.g., Azure, Databricks, etc.)', 'Ability to work with large datasets, ensuring data integrity and reliability.', 'Strong problem-solving skills for complex energy scenarios.', 'Clear and concise reporting of findings to stakeholders.', 'Ability to explain technical concepts to non-technical audiences.', 'Manage deadlines, coordinate with teams, and handle multiple modeling tasks.']","['Bachelor’s and/or master’s in electrical engineering, economics, mathematics, or a related quantitative field (data science or data engineering emphasis desired).', '3-5 years of experience in energy trading, renewables development or energy industry forecasting/analytics/research.', 'Familiarity with capacity expansion, production cost models, or energy-related software.', 'Ability to work with datasets specific to energy systems, such as grid network models, load profiles, and pricing data. Strong knowledge of data wrangling and cleaning techniques, especially for time series, spatial, and network data.', 'Excellent programming skills in common languages (e.g., Python) and packages used by energy modeling field (e.g., geopandas, numpy, networkx, pandas), use of software best practices (e.g., Git), and familiarity with high performance computing environments.', 'Experience with extracting, transforming, and loading processes and tools for handling large-scale datasets. Demonstrated ability to develop and deploy Feature Engineering and Modeling applications to data platforms built on Databricks or similar platforms and platform components (e.g., Snowflake, ML Flow, Airflow, etc.)', 'Demonstrated experience in using Azure-based cloud applications, services and infrastructure or significant, transferrable experience with other Cloud Providers (e.g., AWS or GCP)', 'Comfortable creating data visualizations and deploying them on a company-wide level.', 'Implementation of storing system-level logs and responding to pipeline failures (including code errors, API statuses, data structure failures, and machine-based failures).']",https://www.linkedin.com/jobs/view/energy-systems-data-scientist-at-pattern-energy-4146405905,LinkedIn
Machine Learning Engineer,Russell Tobin,Remote,"['MS/PhD in relevant fields preferred', 'Proficiency in Python and SQL', 'Experience with TensorFlow, PyTorch, AWS, Spark, Airflow, Kafka, MLflow', 'Hands-on experience with Large Language Models (LLMs)', 'Familiarity with large-scale architecture patterns']","['3+ years of industry experience in applied Machine Learning', 'Strong understanding of Machine Learning best practices', 'Foundation in pipeline, feature generation & engineering, model training & evaluation, A/B testing, model deployment & serving, service integration', 'Flexibility across time zones and locations']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-russell-tobin-4180677148,LinkedIn
Decision Scientist,Simbe,Simbe,"['Experience working with retail data or sales analytics', 'Familiarity with cloud data platforms (AWS, GCP, or Azure)', 'Understanding of A/B testing, predictive modeling, or machine learning techniques']","[""Bachelor's degree in Data Science, Analytics, Computer Science, Statistics, Mathematics, Economics, Business, or a related field"", '5+ years of experience in decision science, analytics, business intelligence, or a related field', 'Proven track record of bridging analytics with commercial objectives, particularly within Sales or Client Analytics teams', 'Adept at synthesizing complex data into actionable business recommendations', 'Strong SQL skills and experience working with relational databases', 'Hands-on experience with data visualization tools such as Tableau, Looker, Power BI, or similar', 'Experience with Python or R for data analysis is a plus', 'Ability to work in a fast-paced, dynamic environment and manage multiple priorities', 'Exceptional communication skills with a track record of presenting data-driven insights to stakeholders of all seniority levels']",https://www.linkedin.com/jobs/view/decision-scientist-client-analytics-at-simbe-4190647234,LinkedIn
Data Scientist / ML Engineer,"Paradyme, a CATHEXIS Company","Tysons Corner, VA","['Experience with scalable ML (MapReduce, Spark)', 'Experience in Generative AI, e.g., Large Language Models (LLMs), embedding models, prompt engineering, and fine-tuning', 'Experience with reinforcement learning', 'A portfolio of projects (GitHub, papers, etc.)']","[""Masters degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields or Bachelor's degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields with one year of relevant work experience"", 'Applied Machine Learning experience (regression and classification, supervised, self-supervised, and unsupervised learning)', 'Strong mathematical background (linear algebra, calculus, probability, and statistics)', 'Proficiency in Python and objected-oriented programming, e.g. JavaScript', 'Familiarity with key Python packages for data wrangling, machine learning, and deep learning such as pandas, sklearn, tensorflow, torch, langchain, etc.', 'Ability to drive a project and work both independently and in a cross-functional team', 'Smart, motivated, can-do attitude, and seeks to make a difference in a fast-paced environment', 'Excellent verbal and written communication']",https://www.linkedin.com/jobs/view/data-scientist-ml-engineer-at-paradyme-a-cathexis-company-4073657779,LinkedIn
"Data Scientist, Decisions",Lyft,San Francisco,"['Advanced degree in a quantitative field (e.g., statistics, economics, applied math, operations research, engineering)', 'Proficiency in SQL for querying large datasets', 'Strong programming skills, particularly in Python or R, with experience in data analysis and visualization libraries', 'Strong written and verbal communication skills', '5+ years in data science or analytics roles']","['Degree in a quantitative field (e.g., statistics, economics, applied math, operations research, engineering)', 'Proficiency in SQL for querying large datasets', 'Strong programming skills, particularly in Python or R, with experience in data analysis and visualization libraries', 'Strong written and verbal communication skills', '5+ years in data science or analytics roles']",https://www.linkedin.com/jobs/view/data-scientist-decisions-customer-care-tech-at-lyft-4151689613,LinkedIn
Data Scientist,Google,"San Francisco, CA, USA; Sunnyvale, CA, USA","['5 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree', '3 years of experience developing and deploying machine learning and AI models in production settings', 'Experience applying a variety of unsupervised, semi-supervised, and supervised machine learning techniques, and the ability to turn big data into actionable intelligence']","[""Master's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field"", '3 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree', 'Experience developing in Python']",https://www.linkedin.com/jobs/view/data-scientist-research-cloud-security-at-google-4186406954,LinkedIn
Research Scientist - Mathematical Modeling,Lyft,San Francisco,"['M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields', '3+ years professional experience', 'Passion for solving unstructured and non-standard mathematical problems', 'End-to-end experience with data, including querying, aggregation, analysis, and visualization', 'Proficiency with Python, or another interpreted programming language like R or Matlab', 'Willingness to collaborate and communicate with others to solve a problem']","['M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields', '3+ years professional experience']",https://www.linkedin.com/jobs/view/data-scientist-algorithms-primetime-pricing-at-lyft-4105035525,LinkedIn
